id,invert_label,lat,line,lon,name_en,name_ru,opened
162,1,55.7509501453,9,37.6069569353,Borovitskaya,Боровицкая,1986-01-23
163,0,55.7381198179,9,37.61703384,Polyanka,Полянка,1986-01-23
164,0,55.7281411364,9,37.6245695675,Serpukhovskaya,Серпуховская,1983-11-08
165,0,55.70874355,9,37.6227844913,Tulskaya,Тульская,1983-11-08
166,0,55.6828970113,9,37.6223771289,Nagatinskaya,Нагатинская,1983-11-08
167,0,55.6721414746,9,37.6101631037,Nagornaya,Нагорная,1983-11-08
168,0,55.6626998259,9,37.6055650956,Nakhimovsky Prospekt,Нахимовский проспект,1983-11-08
169,0,55.6527699595,9,37.5982500006,Sevastopolskaya,Севастопольская,1983-11-08
170,0,55.6404112935,9,37.6066204377,Chertanovskaya,Чертановская,1983-11-08
171,0,55.6222778048,9,37.60913327,Yuzhnaya,Южная,1983-11-08
172,0,55.6123984231,9,37.6044302839,Prazhskaya,Пражская,1985-11-06
173,0,55.5950856842,9,37.6003212525,Ulitsa Akademika Yangelya,Улица академика Янгеля,2000-08-31
174,0,55.5825449053,9,37.5963698894,Annino,Аннино,2001-12-12
175,0,55.5693173043,9,37.5768133043,Bulvar Dmitriya Donskogo,Бульвар Дмитрия Донского,2002-12-26
176,0,55.8346541,10,37.574985,Petrovsko-Razumovskaya,Петровско-Разумовская,2016-09-16
177,1,55.8229566087,10,37.5878368638,Fonvizinskaya,Фонвизинская,2016-09-16
178,0,55.8134260925,10,37.6026678615,Butyrskaya,Бутырская,2016-09-16
179,0,55.7955385165,10,37.6164765981,Maryina Roshcha,Марьина Роща,2010-06-19
180,0,55.7811803092,10,37.6151613492,Dostoyevskaya,Достоевская,2010-06-19
181,0,55.7692261716,10,37.6195884318,Trubnaya,Трубная,2007-08-30
182,0,55.7670360625,10,37.6400975692,Sretensky Bulvar,Сретенский бульвар,2007-12-29
183,1,55.7570188059,10,37.6566507097,Chkalovskaya,Чкаловская,1995-12-28
184,0,55.7464523955,10,37.6833281109,Rimskaya,Римская,1995-12-28
185,0,55.7331233753,10,37.667621484,Krestyanskaya Zastava,Крестьянская застава,1995-12-28
186,0,55.7190181751,10,37.6758509293,Dubrovka,Дубровка,1999-12-11
187,0,55.7076294762,10,37.6847234486,Kozhukhovskaya,Кожуховская,1995-12-28
188,0,55.6934851078,10,37.7268951711,Pechatniki,Печатники,1995-12-28
189,0,55.6908930409,10,37.7533390084,Volzhskaya,Волжская,1995-12-28
190,0,55.6755625842,10,37.7620261542,Lyublino,Люблино,1996-12-25
191,0,55.6596812756,10,37.7506742388,Bratislavskaya,Братиславская,1996-12-25
